id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence,average_watts,weighted_average_watts,sport_type
226584554,"09/07/2014 Midland, Michigan",68162.5,2:36:13,Ride,7.272,2014-09-07 11:36:53+00:00,24.0,,147.5,2:36:13,,,,,,Ride
226584553,"09/08/2014 Midland, Michigan",47697.2,2:10:21,Ride,6.099,2014-09-08 21:59:39+00:00,23.6,,135.3,2:55:27,,,,,,Ride
226584550,"09/11/2014 Midland, Michigan",44073.9,1:43:25,Ride,7.103,2014-09-11 22:34:27+00:00,23.7,,141.4,22:25:50,,,,,,Ride
226584574,"09/13/2014 Midland, Michigan",102098.0,4:02:06,Ride,7.029,2014-09-13 12:25:20+00:00,68.0,,150.0,4:15:34,,,,,,Ride
226584569,"09/14/2014 Midland, Michigan",119201.0,4:34:48,Ride,7.23,2014-09-14 12:22:11+00:00,84.0,,144.9,6:14:13,,,,,,Ride
226584548,"09/16/2014 Midland, Michigan",65139.1,2:23:00,Ride,7.592,2014-09-16 20:37:34+00:00,23.9,,140.6,2:27:25,,,,,,Ride
226584552,"09/18/2014 Midland, Michigan",64137.9,2:22:04,Ride,7.524,2014-09-18 21:04:51+00:00,23.7,,133.7,2:23:47,,,,,,Ride
226584544,"09/19/2014 Midland, Michigan",43589.0,1:33:16,Ride,7.789,2014-09-19 22:10:49+00:00,24.8,,139.7,1:33:43,,,,,,Ride
226584535,"09/20/2014 Midland, Michigan",40.6,0:00:10,Ride,4.06,2014-09-20 11:37:38+00:00,0.0,,99.0,0:00:10,,,,,,Ride
226584561,"09/20/2014 Midland, Michigan",128092.0,5:02:04,Ride,7.068,2014-09-20 11:38:02+00:00,84.4,,137.1,5:05:09,,,,,,Ride
226584577,"09/27/2014 Frankenmuth, Michigan",147046.0,5:14:50,Ride,7.784,2014-09-27 11:49:18+00:00,323.6,,147.7,7:02:52,,,,,,Ride
